Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
65,58.55735417860245,-155.7803992751736,88556,KATMAILAND Brooks Lodge Tuckerville Utiltity Storage Bldng,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88556.jpg,"$20,951",59 Sq Ft,OPERATING,Storage,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Utiltity Storage Bldng,
66,58.55785041015628,-155.77911973958334,95881,BR-44B Small Generator Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/95881.jpg,"$22,727",64 Sq Ft,OPERATING,Power Generating,1968,NPS,BR-44B Small Generator Building,
67,58.557434085286445,-155.7786394455295,38418,BR-T3 Brooks Camp Quarters (Hard sided wall tent),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38418.jpg,"$111,002",335 Sq Ft,OPERATING,Housing-Single Family,1991,NPS,BR-T3 Brooks Camp Quarters (Hard sided wall tent),
68,58.55735731987846,-155.7786531000434,38419,BR-T4  Brooks Camp Quarters (hard sided wall tent),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38419.jpg,"$111,002",335 Sq Ft,OPERATING,Housing-Single Family,1991,NPS,BR-T4 Brooks Camp Quarters (hard sided wall tent),
69,58.719196782769075,-155.49515383680554,99365,KATMAILAND Grosvenor Utility Bldg/Dry Storage,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/99365.jpg,"$74,573",210 Sq Ft,OPERATING,Storage,2004,CONCESSION,KATMAILAND Grosvenor Utility Bldg/Dry Storage,
70,58.71884425564235,-155.49567090060765,88562,KATMAILAND Grosvenor Camp Lodge Office,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88562.jpg,"$212,731",480 Sq Ft,OPERATING,Administrative,1957,CONCESSION,KATMAILAND Grosvenor Camp Lodge Office,
71,58.719404647352405,-155.49469906358507,88571,KATMAILAND Grosvenor Camp Guest Cabin #1,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88571.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1959,CONCESSION,KATMAILAND Grosvenor Camp Guest Cabin #1,
72,58.7194509082031,-155.49515879123263,88573,KATMAILAND Grosvenor Camp  Guest Cabin #3,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88573.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1984,CONCESSION,KATMAILAND Grosvenor Camp Guest Cabin #3,
73,58.71950143229168,-155.49503246310763,99360,KATMAILAND Grosvenor Bathhouse,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/99360.jpg,"$157,283",256 Sq Ft,OPERATING,Comfort Station,2002,CONCESSION,KATMAILAND Grosvenor Bathhouse,
74,58.71945678059893,-155.4948873719618,88572,KATMAILAND Grosvenor Camp Guest Cabin #2,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88572.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1959,CONCESSION,KATMAILAND Grosvenor Camp Guest Cabin #2,
75,58.71925678819446,-155.49511712673612,88569,KATMAILAND Grosvenor Camp Outhouse,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88569.jpg,"$8,429",20 Sq Ft,OPERATING,Comfort Station,1950,CONCESSION,KATMAILAND Grosvenor Camp Outhouse,
76,58.71913794053819,-155.49491426215278,88568,KATMAILAND Grosvenor Camp Kitchen Dining Room,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88568.jpg,"$211,273",384 Sq Ft,OPERATING,Restaurant,1984,CONCESSION,KATMAILAND Grosvenor Camp Kitchen Dining Room,
77,58.71899577256943,-155.49523693684895,88567,KATMAILAND Grosvenor Camp Cook's Cabin,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88567.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1981,CONCESSION,KATMAILAND Grosvenor Camp Cook's Cabin,
78,58.71892184570311,-155.49527711154514,88566,KATMAILAND Grosvenor Manager's Cabin,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88566.jpg,"$56,593",144 Sq Ft,OPERATING,Housing-Single Family,2003,CONCESSION,KATMAILAND Grosvenor Manager's Cabin,
79,58.71884040907116,-155.4955031640625,88565,KATMAILAND Grosvenor Camp Storage (Old Managers),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88565.jpg,"$20,463",81 Sq Ft,OPERATING,Storage,1950,CONCESSION,KATMAILAND Grosvenor Camp Storage,
80,58.71889852864581,-155.4958837467448,88563,KATMAILAND Grosvenor Camp Lodge Shop/Boathouse,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88563.jpg,"$64,674",256 Sq Ft,OPERATING,Storage,1950,CONCESSION,KATMAILAND Grosvenor Camp Lodge Dry Storage/Shop,
81,58.71877332465277,-155.49606670030383,88564,KATMAILAND Grosvenor Pilot Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88564.jpg,"$20,463",81 Sq Ft,OPERATING,Storage,1950,CONCESSION,KATMAILAND Grosvenor Camp Lodge Storage Building,
82,58.545497009548626,-155.79172220594617,99574,LB-Smoker,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/99574.jpg,"$8,136",36 Sq Ft,INACTIVE,Shed/Outbuild,1972,NPS,LB-Smoker,
83,58.54557533745657,-155.79194963867187,99575,LB-OH Leach Field Outhouse and Thinking Throne,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/99575.jpg,"$12,732",25 Sq Ft,INACTIVE,Comfort Station,1972,NPS,LB-OH Leach Field Outhouse and Thinking Throne,
84,58.54662728949654,-155.79388795030383,54263,LB-LS Lumber Storage Shed,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/54263.jpg,"$51,789",205 Sq Ft,OPERATING,Storage,1953,NPS,LB-LS Lumber Storage Shed,
85,58.680279976128475,-156.66995834309895,83353,KS B34 Storage Van  (Maintenance Yard),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/83353.jpg,"$80,842",320 Sq Ft,OPERATING,Storage,1980,NPS,KS B34 Storage Van (Maintenance Yard),
86,66.89256146701388,-162.6053780295139,84667,Northwest Alaska Heritage Center,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/84667.jpg,"$17,685,581","19,750 Sq Ft",OPERATING,Visitor/Interp,1916,NPS,Northwest Alaska Heritage Center,
87,66.89353804796008,-162.60391891601563,42575,"4 Plex 153 A, B, C, D",http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42575.jpg,"$2,499,121","6,610 Sq Ft",OPERATING,Housing-Multi-Unit,1990,NPS,"4 Plex 153 A, B, C, D",
88,66.89374036458332,-162.6036790375434,42577,Visitor Information Center 154 A,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42577.jpg,"$2,023,767","2,260 Sq Ft",OPERATING,Visitor/Interp,1972,NPS,Visitor Information Center 154 A,
89,66.89390961805555,-162.6037804014757,42579,0000154B Corner House,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42579.jpg,"$141,481",419 Sq Ft,OPERATING,Housing-Single Family,1972,NPS,Corner House 154 B,
90,66.89377662217879,-162.6034069455295,42581,"Duplex 154 C, D",http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42581.jpg,"$259,704",880 Sq Ft,OPERATING,Housing-Multi-Unit,1984,NPS,"Duplex 154 C, D",
91,66.89674829101563,-162.58859489474827,237769,Automotive Shop,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/237769.jpg,"$600,199","1,644 Sq Ft",OPERATING,Serv/Shop/Maint,unknown,NPS,Automotive Shop,
92,66.89641284396703,-162.5909099327257,42588,Bunk House 297 A,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42588.jpg,unknown,828 Sq Ft,OPERATING,Housing-Single Family,1986,NPS,Bunk House 297 A,
93,66.89648341254338,-162.5900809049479,10108795,"0000297B, SFU 297 B",http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/10108795.jpg,"$464,670","1,585 Sq Ft",OPERATING,Housing-Single Family,1916,NPS,"0000297B, SFU 297 B",
94,66.89615917534724,-162.590244187283,42585,Maintenance Shop 297,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42585.jpg,"$955,061","2,616 Sq Ft",OPERATING,Administrative,1974,NPS,Maintenance Shop 297,
